Code câu hỏi,,Câu hỏi,Câu trả lời,Code câu trả lời
,,,Lao động tự do (VD: chạy Grab/thợ chụp hình/ xe ôm/ tài xế/ khuân vác/ thợ làm móng/ thợ cắt tóc/ thợ may/ giữ trẻ….),8
,,,Peddle/ Freelancer,
,,,Không đi làm/ Thất nghiệp ,9
,,,Unemployed,
,,,"Nội trợ toàn thời gian (chỉ ở nhà dọn dẹp nhà cửa, nấu ăn, v.v )",10
,,,Housewife,
,,,Sinh viên / học sinh,11
,,,Student/ Pupil,
,,, Nghỉ hưu,12
,,,Retire,
,,,Làm ruộng/ làm rẫy/ chăn nuôi/ ngư dân ,14
,,,Agricultural/ farmer,
,,,Bộ đội/ Dân phòng,15
,,,Soldier/ Civil defence,
,,,Nhân viên bán hàng (có hợp đồng với công ty),16
,,,Salesperson,
,,,"Lao động phổ thông (thợ may/ làm tóc/ thợ hồ/ người giúp việc/ tạp vụ/ nhân viên spa/ nhân viên bán quần áo, v.v.)",17
,,,Unskilled labor,
,,,Khác (nêu rõ……..),97
,,,"Other, specify: ……….",
D7,EDUCATION,Trình độ học vấn cao nhất của bạn?,,
,,,Đang học/ tốt nghiệp chương trình cấp 1,1
,,,Studying/Graduated from primary school,
,,,Đang học/ tốt nghiệp chương trình cấp 2,2
,,,Studying/Graduated from secondary school,
,,,Đang học/ tốt nghiệp chương trình cấp 3,3
,,,Studying/Graduated from high school,
,,,Đang học/ tốt nghiệp các trường đại học/ cao đẳng và các trường dạy nghề,4
,,,Studying/Graduated from university/college and vocational school ,
,,,Không đi học,5
,,,Not going to school  ,
